Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2015","2015","ha","4107648","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2015","2015","kg/ha","2189.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2015","2015","t","8992274","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2016","2016","ha","4834102","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2016","2016","kg/ha","2793.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2016","2016","t","13505990","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2017","2017","ha","4124158","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2017","2017","kg/ha","2243.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2017","2017","t","9253852","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2018","2018","ha","4436588","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2018","2018","kg/ha","1987.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2018","2018","t","8818946.12","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2019","2019","ha","5040903","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2019","2019","kg/ha","2009","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2019","2019","t","10127175.29","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2020","2020","ha","5491009","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2020","2020","kg/ha","2667.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2020","2020","t","14648580.55","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2021","2021","ha","5094527","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2021","2021","kg/ha","2822.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2021","2021","t","14377284.33","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2022","2022","ha","3807695","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2022","2022","kg/ha","3543.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2022","2022","t","13491375","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2023","2023","ha","4001070","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2023","2023","kg/ha","2739.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2023","2023","t","10961886","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0115","Barley","2024","2024","ha","4621000","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2024","2024","kg/ha","2870.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0115","Barley","2024","2024","t","13265000","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","59588","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","8300.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2015","2015","t","494589","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","53281","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","7508","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2016","2016","t","400032","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","67771","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","6436.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2017","2017","t","436193.85","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","52783","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","7336.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2018","2018","t","387240","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","58949","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","5550.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2019","2019","t","327206.16","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","37730","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","7091.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2020","2020","t","267551.56","A","Official figure",""
